"Speaker","Emotion","Script","Order","Run","Stim_index","Version"
"fam","sad","tlk",3,1,9,"a"
"unf","ang","hlp",3,1,11,"a"
"fam","hap","din",3,1,13,"a"
"unf","ang","chk",3,1,15,"a"
"fam","neu","tlk",3,1,17,"a"
"unf","sad","chk",3,1,19,"a"
"unf","ang","din",3,1,21,"a"
"fam","neu","hlp",3,1,23,"a"
"unf","hap","tlk",3,1,25,"a"
"fam","neu","din",3,1,27,"a"
"fam","ang","chk",3,1,29,"a"
"fam","hap","hlp",3,1,31,"a"
"unf","sad","tlk",3,1,33,"a"
"fam","neu","chk",3,1,35,"a"
"fam","ang","din",3,1,37,"a"
"fam","hap","tlk",3,1,39,"a"
"fam","sad","hlp",3,1,41,"a"
"unf","hap","din",3,1,43,"a"
"unf","neu","tlk",3,1,45,"a"
"unf","sad","din",3,1,47,"a"
"unf","hap","chk",3,1,49,"a"
"fam","ang","hlp",3,1,51,"a"
"fam","sad","din",3,1,53,"a"
"unf","neu","hlp",3,1,55,"a"
"fam","hap","chk",3,1,57,"a"
"unf","ang","tlk",3,1,59,"a"
"unf","neu","din",3,1,61,"a"
"unf","sad","hlp",3,1,63,"a"
"unf","neu","chk",3,1,65,"a"
"unf","neu","chk",3,2,1,"b"
"unf","sad","tlk",3,2,3,"b"
"fam","ang","chk",3,2,5,"b"
"unf","hap","din",3,2,7,"b"
"fam","sad","hlp",3,2,9,"b"
"fam","hap","chk",3,2,11,"b"
"unf","neu","tlk",3,2,13,"b"
"unf","ang","din",3,2,15,"b"
"fam","sad","tlk",3,2,17,"b"
"fam","neu","din",3,2,19,"b"
"fam","hap","tlk",3,2,21,"b"
"unf","ang","hlp",3,2,23,"b"
"fam","hap","din",3,2,25,"b"
"unf","sad","hlp",3,2,27,"b"
"fam","neu","tlk",3,2,29,"b"
"unf","sad","chk",3,2,31,"b"
"fam","ang","hlp",3,2,33,"b"
"fam","neu","chk",3,2,35,"b"
"unf","hap","tlk",3,2,37,"b"
"unf","ang","chk",3,2,39,"b"
"fam","neu","hlp",3,2,41,"b"
"fam","sad","din",3,2,43,"b"
"unf","hap","hlp",3,2,45,"b"
"unf","sad","din",3,2,47,"b"
"fam","ang","tlk",3,2,49,"b"
"unf","hap","chk",3,2,51,"b"
"unf","neu","hlp",3,2,53,"b"
"fam","ang","din",3,2,55,"b"
